"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"19128",18474,192,0.203270871160672,8852.42857142857,1,0.982721382289417,0.270453008789723,7,0.02,0.457516339869281,0.961538461538462,"Colombia"
"19129",18475,193,0.11086441404282,9340.85714285714,1,0.982839313572543,0.276863504356244,7,0.02,0.457516339869281,0.962962962962963,"Colombia"
"19130",18476,194,0.150772792431524,9810.71428571429,1,0.93809176984705,0.314056224899598,14,0.01,0.601307189542484,0.821428571428571,"Colombia"
"19131",18477,195,0.0269980557209286,10107,1,0.982948846539619,0.280733944954128,7,0.02,0.454545454545455,0.964285714285714,"Colombia"
"19132",18478,196,-0.113618476130719,9656.28571428571,0,0.983184965380811,0.280733944954128,7,0.02,0.458064516129032,0.964285714285714,"Colombia"
"19133",18479,197,-0.157511232025241,9951.28571428571,0,0.983414634146342,0.280733944954128,7,0.02,0.461538461538462,0.964285714285714,"Colombia"
"19134",18480,198,-0.185869093505542,10241.4285714286,0,0.983638113570741,0.280733944954128,7,0.02,0.464968152866242,0.964285714285714,"Colombia"
"19135",18481,199,-0.309768335087474,10242.2857142857,0,0.983855650522317,0.280733944954128,7,0.02,0.468354430379747,0.964285714285714,"Colombia"
"19136",18482,200,-0.333343854475736,10098.4285714286,0,0.98406747891284,0.280733944954128,7,0.02,0.471698113207547,0.964285714285714,"Colombia"
"19137",18483,201,-0.0785457868108765,9975.71428571429,0,0.968819599109131,0.279503105590062,7,0.02,0.471698113207547,0.931034482758621,"Colombia"
"19138",18484,202,-0.00468041885472732,9967.57142857143,0,0.968992248062016,0.285714285714286,7,0.03,0.471698113207547,0.933333333333333,"Colombia"
"19139",18485,203,0.447228865841785,10782,1,0.969153814089204,0.291813978787055,7,0.03,0.471698113207547,0.935483870967742,"Colombia"
"19140",18486,204,0.351697433186611,10972.1428571429,1,0.969305331179321,0.297805642633229,7,0.03,0.471698113207547,0.9375,"Colombia"
"19141",18487,205,0.116983715542663,10870.7142857143,1,0.969447708578143,0.303692539562924,7,0.03,0.471698113207547,0.939393939393939,"Colombia"
"19142",18488,206,0.145585192611694,11129.5714285714,1,0.96958174904943,0.309477756286267,7,0.03,0.471698113207547,0.941176470588235,"Colombia"
"19143",18489,207,0.0929544807996455,11402.7142857143,1,0.969708164019209,0.315164220824598,7,0.03,0.471698113207547,0.942857142857143,"Colombia"
"19144",18490,208,-0.0691425917693582,11550.1428571429,0,0.969827586206897,0.320754716981132,7,0.03,0.471698113207547,0.944444444444444,"Colombia"
"19145",18491,209,-0.446751307741202,11291,0,0.969940580216707,0.326251896813353,7,0.03,0.471698113207547,0.945945945945946,"Colombia"
"19146",18492,210,-0.168164101569792,11238.4285714286,0,0.955734406438632,0.325443786982248,7,0.03,0.471698113207547,0.921052631578947,"Colombia"
"19147",18493,211,0.00456809857192842,11379.8571428571,0,0.954128440366973,0.323159784560144,13,0.05,0.452830188679245,0.923076923076923,"Colombia"
"19148",18494,212,-0.0161065598442248,11416.2857142857,0,0.95427435387674,0.328444615978387,13,0.05,0.452830188679245,0.925,"Colombia"
"19149",18495,213,-0.101738400838261,11003.8571428571,0,0.954413191076625,0.333644685223239,13,0.05,0.452830188679245,0.926829268292683,"Colombia"
"19150",18496,214,-0.0241774438721888,10916.2857142857,0,0.942549371633752,0.340807174887892,19,0.05,0.471698113207547,0.904761904761905,"Colombia"
