"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"115",18397,115,0.0637632679481468,324.714285714286,1,0.92,0,29,0.01,0.676470588235294,0,"Afghanistan"
"116",18398,116,0.0559236059456487,337.285714285714,1,0.921052631578947,0,29,0.01,0.679611650485437,0,"Afghanistan"
"117",18399,117,0.0290272507323729,323.142857142857,1,0.922077922077922,0,29,0.01,0.682692307692308,0,"Afghanistan"
"118",18400,118,0.0291532189741665,340.857142857143,1,0.923076923076923,0,29,0.01,0.685714285714286,0,"Afghanistan"
"119",18401,119,0.0430627805531311,383.714285714286,1,0.924050632911392,0,29,0.01,0.688679245283019,0,"Afghanistan"
"120",18402,120,0.0506156142886972,417,1,0.925,0,29,0.01,0.691588785046729,0,"Afghanistan"
"121",18403,121,0.0438395578276877,433.857142857143,1,0.925925925925926,0,29,0.01,0.694444444444444,0,"Afghanistan"
"122",18404,122,0.0376165017456582,452.142857142857,1,0.926829268292683,0,29,0.01,0.697247706422018,0,"Afghanistan"
"123",18405,123,0.062105950709467,514,1,0.927710843373494,0,29,0.01,0.7,0,"Afghanistan"
"124",18406,124,0.0750776156170067,560,1,0.928571428571428,0,29,0.01,0.702702702702703,0,"Afghanistan"
"125",18407,125,0.0647867160877749,586.142857142857,1,0.929411764705882,0,29,0.01,0.705357142857143,0,"Afghanistan"
"126",18408,126,0.0547440480462921,597.142857142857,1,0.930232558139535,0,29,0.01,0.707964601769911,0,"Afghanistan"
"127",18409,127,0.0473229981258081,616.142857142857,1,0.931034482758621,0,29,0.01,0.710526315789474,0,"Afghanistan"
"128",18410,128,0.0340653334231024,623.142857142857,1,0.931818181818182,0,29,0.01,0.71304347826087,0,"Afghanistan"
"129",18411,129,0.0295678890507789,634.714285714286,1,0.932584269662921,0,29,0.01,0.71551724137931,0,"Afghanistan"
"130",18412,130,0.0235509174336263,646.714285714286,1,0.933333333333333,0,29,0.01,0.717948717948718,0,"Afghanistan"
"131",18413,131,0.0178172495554802,660.428571428571,1,0.934065934065934,0,29,0.01,0.720338983050847,0,"Afghanistan"
"132",18414,132,0.0109763476266225,653.857142857143,1,0.934782608695652,0,29,0.01,0.722689075630252,0,"Afghanistan"
"133",18415,133,0.0058475387414441,668.285714285714,0,0.935483870967742,0,29,0.01,0.725,0,"Afghanistan"
"134",18416,134,0.00982857403613625,687.285714285714,0,0.936170212765957,0,29,0.01,0.727272727272727,0,"Afghanistan"
"135",18417,135,0.0128246749474539,716.857142857143,0,1,0.132075471698113,30,0.04,0.619834710743802,1,"Afghanistan"
"136",18418,136,0.0175719114524807,758.571428571429,0,1,0.148148148148148,30,0.04,0.619834710743802,1,"Afghanistan"
