"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"31763",18485,203,0.0650327964776658,1706.57142857143,1,0.850455136540962,0.796233469500796,30,0.01,0.666666666666667,0.917431192660551,"France"
"31764",18486,204,0.0777146491480409,1833.71428571429,1,0.852773826458037,0.796233469500796,30,0.01,0.670731707317073,0.917431192660551,"France"
"31765",18487,205,0.0794511918352019,1987.57142857143,1,0.855021711724331,0.796233469500796,30,0.01,0.674698795180723,0.917431192660551,"France"
"31766",18488,206,0.0671715900507149,2064.14285714286,1,0.857201986754967,0.796233469500796,30,0.01,0.678571428571429,0.917431192660551,"France"
"31767",18489,207,0.131494623792288,2512.71428571429,1,0.859317656653527,0.796233469500796,30,0.01,0.682352941176471,0.917431192660551,"France"
"31768",18490,208,0.167533321261267,2936.71428571429,1,0.861371551031342,0.796233469500796,30,0.01,0.686046511627907,0.917431192660551,"France"
"31769",18491,209,0.0319350445282288,2353.71428571429,1,0.863366336633663,0.796233469500796,30,0.01,0.689655172413793,0.917431192660551,"France"
"31770",18492,210,0.0294120041034182,2454.42857142857,1,0.865304528891203,0.796233469500796,30,0.01,0.693181818181818,0.917431192660551,"France"
"31771",18493,211,0.0386726902673202,2622.14285714286,1,0.867188502502246,0.796233469500796,30,0.01,0.696629213483146,0.917431192660551,"France"
"31772",18494,212,0.0613575570965234,2925.28571428571,1,0.869020501138952,0.796233469500796,30,0.01,0.7,0.917431192660551,"France"
"31773",18495,213,0.0758652717809174,3223.28571428571,1,0.870802646361253,0.796233469500796,30,0.01,0.703296703296703,0.917431192660551,"France"
"31774",18496,214,0.0619611230094966,3261,1,0.872536945812808,0.796233469500796,30,0.01,0.706521739130435,0.917431192660551,"France"
"31775",18497,215,0.0672320586345061,3500.57142857143,1,0.874225300765585,0.796233469500796,30,0.01,0.709677419354839,0.917431192660551,"France"
"31776",18498,216,0.0632543974982335,3690,1,0.875869513072679,0.796233469500796,30,0.01,0.712765957446808,0.917431192660551,"France"
"31777",18499,217,0.061268254746779,3903.85714285714,1,0.87747129158281,0.796233469500796,30,0.01,0.715789473684211,0.917431192660551,"France"
"31778",18500,218,0.0155881321769808,3406,1,0.879032258064516,0.796233469500796,30,0.01,0.71875,0.917431192660551,"France"
"31779",18501,219,0.0656355117690363,4320.71428571429,1,0.880553952683208,0.796233469500796,30,0.01,0.721649484536082,0.917431192660551,"France"
"31780",18502,220,0.0757234310527965,4696.71428571429,1,0.88203783906998,0.796233469500796,30,0.01,0.724489795918367,0.917431192660551,"France"
